"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Mediana 2021";"Mediana 2022";"Mediana 2023";"Mediana 2024";"Mediana 2025"
2021-10-01;0,3337;0,3813;0,2172;0,2336;0,2331;8,5126;4,2085;3,3423;3,1669;3,1421;8,5102;4,136;3,25;3;3
2021-10-04;0,3163;0,3886;0,2284;0,2412;0,2382;8,533;4,2239;3,3456;3,1685;3,144;8,532;4,1672;3,25;3;3
2021-10-05;0,3174;0,3884;0,2284;0,2412;0,2382;8,5353;4,2241;3,3456;3,1685;3,144;8,5409;4,1672;3,25;3;3
2021-10-06;0,319;0,3886;0,2275;0,2405;0,2382;8,5481;4,2263;3,3447;3,1667;3,144;8,5423;4,1672;3,25;3;3
2021-10-07;0,32;0,3881;0,228;0,2417;0,2382;8,5574;4,2257;3,3432;3,1657;3,144;8,5533;4,1704;3,25;3;3
2021-10-08;0,2589;0,3894;0,2277;0,2417;0,2382;8,6089;4,2377;3,3472;3,1657;3,144;8,5859;4,1729;3,25;3;3
2021-10-11;0,2827;0,3889;0,2271;0,243;0,2399;8,6389;4,2374;3,3486;3,1699;3,1495;8,6292;4,1688;3,25;3;3
2021-10-13;0,2888;0,4051;0,2271;0,243;0,2399;8,6494;4,2431;3,3486;3,1699;3,1495;8,6399;4,1704;3,25;3;3
2021-10-14;0,2508;0,408;0,2292;0,243;0,2399;8,6688;4,2459;3,3481;3,1699;3,1495;8,6507;4,1704;3,25;3;3
2021-10-15;0,259;0,3981;0,2299;0,2442;0,2413;8,6872;4,2477;3,3495;3,1707;3,1501;8,6938;4,1814;3,25;3;3
