"Data";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2021-08-26;-3,4961;-18,6592;-24,7983;-39,6493;-45,8975
2021-08-27;-3,5082;-18,5939;-28,0965;-39,6493;-45,8975
2021-08-30;-3,3858;-19,191;-29,876;-42,7867;-49,8428
2021-08-31;-3,4364;-18,9783;-30,5275;-43,3416;-49,8559
2021-09-01;-3,4364;-18,9783;-30,5275;-43,3416;-49,8559
2021-09-02;-2,3948;-18,4566;-29,9025;-44,87;-51,2064
2021-09-03;-2,6086;-18,012;-28,4134;-41,6029;-47,5593
2021-09-06;-2,873;-18,2292;-28,4134;-41,6029;-47,5593
2021-09-08;-2,873;-18,2292;-28,4134;-41,6029;-47,5593
2021-09-09;-2,873;-18,2292;-28,4134;-41,6029;-47,5593
2021-09-10;-3,0319;-18,4414;-28,6141;-42,4954;-49,0225
2021-09-13;-3,2069;-18,7892;-28,8883;-42,6893;-49,1525
2021-09-14;-2,2069;-17,6761;-29,6;-43,8608;-50,4359
2021-09-15;-2,2485;-17,5848;-29,6471;-43,8916;-50,4775
2021-09-16;-2,1944;-17,9069;-29,6471;-43,8916;-50,4775
2021-09-17;-2,7055;-16,6146;-28;-38,8207;-46,0562
2021-09-20;-2,7055;-16,6146;-28;-38,8207;-46,0562
2021-09-21;-2,7055;-16,6146;-28;-38,8207;-46,0562
2021-09-22;-2,7055;-16,6146;-28;-38,8207;-46,0562
2021-09-23;-2,0386;-16,073;-27,3;-38,285;-45,59
2021-09-24;-1,9743;-16,4541;-27,3595;-38,285;-45,59
2021-09-27;-1,9743;-16,4541;-27,3595;-38,285;-45,59
2021-09-28;-1,9743;-16,4541;-27,3595;-38,285;-45,59
2021-09-29;-1,9743;-16,4541;-27,3595;-38,285;-45,59
2021-09-30;-2,031;-17,098;-28,8239;-41,1531;-49,3059
2021-10-01;-2,2425;-17,7522;-29,3628;-41,1531;-49,3059
2021-10-04;-3,5002;-19,1478;-31,9081;-42,7492;-51,0609
2021-10-05;-3,5002;-19,1478;-31,9081;-42,7492;-51,0609
2021-10-06;-3,5419;-19,1478;-31,9081;-42,8075;-51,1246
2021-10-07;-3,5594;-19,1478;-31,9081;-42,8075;-51,1246
2021-10-08;-3,8544;-19,3001;-31,9081;-42,8075;-51,1246
2021-10-11;-4,2524;-19,2546;-31,9081;-42,8075;-51,1246
2021-10-13;-4,6377;-19,3522;-32,6724;-42,8075;-51,1246
2021-10-14;-4,1437;-18,1864;-34,8106;-44,1559;-53,71
2021-10-15;-5,3877;-19,1349;-33,8317;-41,3186;-49,0131
